id,date,customer,amount,country
TX0001,2026-09-21,Koch Textil,1052.95,AT
TX0002,2026-09-08,Koch Textil,1990.51,DE
TX0003,2026-09-22,Becker Trading,6326.80,DE
TX0004,2026-09-19,Nowak Handel,12533.73,PL
TX0005,2026-09-17,Becker Trading,5164.92,PL
TX0006,2026-09-23,Becker Trading,5566.03,NL
TX0007,2026-09-08,Weber & Söhne,3884.37,DE
TX0008,2026-09-25,Fischer Logistik,9938.93,AT
TX0009,2026-09-05,Richter Pharma,1924.33,CH
TX0010,2026-09-04,Schmidt AG,897.21,CH
TX0011,2026-09-28,Müller GmbH,32485.01,LU
TX0012,2026-09-15,Wolf Maschinen,4613.59,NL
TX0013,2026-09-03,Klein Elektro,4746.10,TR
TX0014,2026-09-20,Fischer Logistik,7540.09,AE
TX0015,2026-09-07,Müller GmbH,6024.31,TR
TX0016,2026-09-08,Schmidt AG,6598.31,PL
TX0017,2026-09-28,Hoffmann KG,33628.48,CH
TX0018,2026-09-06,Nowak Handel,3222.12,TR
TX0019,2026-09-09,Hoffmann KG,6001.25,TR
TX0020,2026-09-03,Kowalski Sp. z o.o.,5224.52,CY
TX0021,2026-09-24,Wagner Bau,2171.52,NL
TX0022,2026-09-09,Hoffmann KG,8412.21,LU
TX0023,2026-09-18,Richter Pharma,37564.71,DE
TX0024,2026-09-08,Richter Pharma,7006.71,CH
TX0025,2026-09-13,Nowak Handel,2363.67,AE
TX0026,2026-09-29,Nowak Handel,6136.12,TR
TX0027,2026-09-16,Wolf Maschinen,3435.40,TR
TX0028,2026-09-15,Kowalski Sp. z o.o.,1317.26,PL
TX0029,2026-09-24,Schulz Import,32333.77,NL
TX0030,2026-09-29,Fischer Logistik,5010.01,PL
TX0031,2026-09-05,Müller GmbH,9818.09,DE
TX0032,2026-09-05,Richter Pharma,5378.00,TR
TX0033,2026-09-14,Meyer Consulting,5117.91,NL
TX0034,2026-09-20,Becker Trading,8467.50,AT
TX0035,2026-09-18,Müller GmbH,7333.33,TR
TX0036,2026-09-24,Richter Pharma,85207.13,AT
TX0037,2026-09-25,Schmidt AG,5491.26,AT
TX0038,2026-09-14,Müller GmbH,1445.36,LU
TX0039,2026-09-29,Becker Trading,6150.92,DE
TX0040,2026-09-17,Klein Elektro,7767.82,TR
TX0041,2026-09-10,Becker Trading,7173.19,AE
TX0042,2026-09-07,Becker Trading,74813.66,CY
TX0043,2026-09-30,Fischer Logistik,124.79,FR
TX0044,2026-09-01,Fischer Logistik,1057.45,AT
TX0045,2026-09-08,Wolf Maschinen,605.41,AE
TX0046,2026-09-03,Wagner Bau,837.78,DE
TX0047,2026-09-25,Kowalski Sp. z o.o.,4584.08,DE
TX0048,2026-09-22,Weber & Söhne,56733.76,CY
TX0049,2026-09-28,Nowak Handel,5203.26,CY
TX0050,2026-09-25,Nowak Handel,6236.82,LU
